"Product ID","Product Type",Code,Name,Brand,Description,"Cost Price","Retail Price","Sale Price","Calculated Price","Fixed Shipping Price","Free Shipping",Warranty,Weight,Width,Height,Depth,"Allow Purchases","Product Visible","Product Availability","Product Inventoried","Stock Level","Low Stock Level","Date Added","Date Modified","Category Details",Images,"Page Title","META Keywords","META Description","Product URL","Redirect Old URL?","Product Tax Code","Product Condition","Product Custom Fields"
29,P,1063,"100% Pure Shea Body Butter","Chatto Skin Care","Known for years throughout Africa as an excellent moisturizer and for possessing amazing healing properties, the secret of Shea butter is finally being offered throughout the rest of the world. The vitamin A in Chatto Shea Body Butter helps treat skin conditions such as eczema, dermatitis, wrinkles, as well as treatment for skin allergies, insect bites, frost bites, & sunburns. The vitamin E increases micro-circulation to and from the skin, also serves as an anti-free radical agent by preventing the damaging effects of the sun. Nothing comes close to the ancient healing properties of Chatto's unsurpassed products",0.00,0.00,0.00,25.00,0.0000,N,"<a href=""http://www.chatto.com/shea-butter/"">Organic Shea Butter</a>",2.0000,4.5000,5.0000,5.0000,Y,Y,"Usually ships in less than 24 Hours",N,0,0,05/09/2011,01/06/2017,"Category Name: Moisturizers, Category Path: Moisturizers|Category Name: Body Butters, Category Path: Body Butters|Category Name: Men, Category Path: Men|Category Name: Chatto™ Skincare, Category Path: Chatto™ Skincare|Category Name: Dry-Skin, Category Path: Dry-Skin|Category Name: Aging, Category Path: Aging|Category Name: Sensitive, Category Path: Sensitive|Category Name: Eczema, Category Path: Eczema|Category Name: Wrinkles | Fine Lines, Category Path: Wrinkles | Fine Lines|Category Name: Sun Protection, Category Path: Sun Protection|Category Name: Men's Skin Care, Category Path: Men's Skin Care|Category Name: Skin Care, Category Path: Skin Care|Category Name: Stretch Marks, Category Path: Stretch Marks","Product Image File: Chatto_100_Shea_Butter_2oz.__26312.jpg, Product Image URL: http://www.chatto.com/product_images/z/361/Chatto_100_Shea_Butter_2oz.__26312.jpg",,,,/100-pure-shea-body-butter/,,,New,"""Application=Apply to whole body to keep skin moisturized. Recommended for neck, chest, hands, arms, legs, etc. Apply the shea butter to dry skin to add superb moisture"""
30,P,1062,"Pure Organic Shea Body Butter ","Chatto Skin Care","The ancient healing properties of the Chatto Shea Butter are mixed with natural and essential oils. Chatto Pure Shea Butter secrets the same moisture as the human sebaceous gland which makes this cream so superior. The vitamin A in Chatto Shea Butter helps in most skin conditions such as eczema, dermatitis, wrinkles, as well as treatment for skin allergy, insect bites, frost-bite, & sunburn. Known for years throughout Africa for possessing an amazing amount of moisturizing and healing properties, the secret of Shea butter is finally being discovered throughout the rest of the world. Nothing comes close to the ancient healing properties of Chatto's unsurpassed products",0.00,0.00,0.00,46.00,0.0000,N,"<a href=""http://www.chatto.com/shea-butter/"">Organic Shea Butter</a>",4.0000,9.0000,6.0000,9.0000,Y,Y,"Usually Ships in Less Than 24 Hours",N,0,0,05/09/2011,21/03/2016,"Category Name: Chatto Skin Care, Category Path: Chatto Skin Care|Category Name: Moisturizers, Category Path: Moisturizers|Category Name: Body Butters, Category Path: Body Butters|Category Name: Men, Category Path: Men|Category Name: Dry-Skin, Category Path: Dry-Skin|Category Name: Aging, Category Path: Aging|Category Name: Sensitive, Category Path: Sensitive|Category Name: Eczema, Category Path: Eczema|Category Name: Wrinkles | Fine Lines, Category Path: Wrinkles | Fine Lines|Category Name: Sun Protection, Category Path: Sun Protection|Category Name: Skin Disorders, Category Path: Skin Disorders|Category Name: Men's Skin Care, Category Path: Men's Skin Care|Category Name: Skin Care, Category Path: Skin Care|Category Name: Stretch Marks, Category Path: Stretch Marks","Product Image File: IMG_0572__11933.JPG, Product Image URL: http://www.chatto.com/product_images/g/618/IMG_0572__11933.JPG",,,,/pure-organic-shea-body-butter/,,,New,"""Application=Apply to whole body to keep skin moisturized. Recommended for neck, chest, hands, arms, legs, etc. Apply the shea butter to dry skin to add superb moisture"""
31,P,1088,"Aroma Shea Butter","Chatto Skin Care","The vitamin A in Chatto's Shea Body Butter work great for skin conditions such as eczema, dermatitis, wrinkles, as well as treatment for skin allergies, insect bites, frost bites, & sunburns. The vitamin E increases micro-circulation to and from the skin, also serves as an anti-free radical agent by preventing the damaging effects of the sun. With specific essential oils and vitamins added this Shea Butter offers an exhilarating and refreshing fragrance. Known for years throughout Africa for possessing an amazing amount of moisturizing and healing properties, the secret of Shea butter is finally being offered throughout the rest of the world. Nothing comes close to the ancient healing properties of Chatto's unsurpassed products",0.00,0.00,0.00,49.00,0.0000,N,"<a href=""http://www.chatto.com/shea-butter/"">Organic Shea Butter</a>, Essential Oil Blend",6.0000,12.0000,6.0000,4.0000,Y,Y,"Usually Ships in Less Than 24 Hours",N,0,0,05/09/2011,19/04/2013,"Category Name: Chatto Skin Care, Category Path: Chatto Skin Care|Category Name: Body Butters, Category Path: Body Butters|Category Name: Skin Treatment, Category Path: Skin Treatment|Category Name: Men, Category Path: Men|Category Name: Dry-Skin, Category Path: Dry-Skin|Category Name: Aging, Category Path: Aging|Category Name: Sensitive, Category Path: Sensitive|Category Name: Eczema, Category Path: Eczema|Category Name: Wrinkles | Fine Lines, Category Path: Wrinkles | Fine Lines|Category Name: Sun Protection, Category Path: Sun Protection|Category Name: Men's Skin Care, Category Path: Men's Skin Care","Product Image File: aroma_shea_butter_(final)__81665.JPG, Product Image URL: http://www.chatto.com/product_images/t/896/aroma_shea_butter_(final)__81665.JPG",,,,/aroma-shea-butter/,,,New,
32,P,1096,"Cocoa-Shea Butter Chocolate Organic Sun Tan Cream","Chatto Skin Care","The unsurpassed quality of Chatto's ALL-NATURAL breakthrough body treatment creams with the combination of our organic hand-harvested and sun-cured Shea and Cocoa beans creates a super long lasting moisturizer perfect for those who want to nourish, protect, and tan their skin to a chocolate or golden glow.  The vitamin A & E in this product also helps heal, relieve, soothe, soften and significantly improve skin conditions.  Nothing comes close to the ancient healing properties of Chatto’s unsurpassed products  ",0.00,0.00,0.00,49.00,0.0000,N,"<a href=""http://www.chatto.com/shea-butter/"">Shea Butter</a>, <a href=""http://www.chatto.com/aloe-vera/"">Organic Aloe Vera</a>, Organic Cocoa Butter, Cocoa Extract, <a href=""http://www.chatto.com/vitamin-a/"">Vitamin A</a>, <a href=""http://www.chatto.com/vitamin-d/"">Vitamin D</a>, Chocolate, <a href=""http://www.chatto.com/vitamin-e/"">Vitamin E</a>",4.0000,9.0000,6.0000,9.0000,Y,Y,"Usually Ships in Less Than 24 Hours",N,0,0,06/09/2011,27/07/2012,"Category Name: Chatto Skin Care, Category Path: Chatto Skin Care|Category Name: Moisturizers, Category Path: Moisturizers|Category Name: Body Butters, Category Path: Body Butters|Category Name: Men, Category Path: Men|Category Name: Dry-Skin, Category Path: Dry-Skin|Category Name: Sensitive, Category Path: Sensitive|Category Name: Sun Protection, Category Path: Sun Protection|Category Name: Men's Skin Care, Category Path: Men's Skin Care|Category Name: Skin Care, Category Path: Skin Care","Product Image File: 0603241910067_imageeditor_Cocoa-Shea_Butter_Chocolate_Sun_Tan_Cream_(Final)__55728.jpg, Product Image URL: http://www.chatto.com/product_images/u/773/0603241910067_imageeditor_Cocoa-Shea_Butter_Chocolate_Sun_Tan_Cream_(Final)__55728.jpg",,,,/cocoa-shea-butter-chocolate-organic-sun-tan-cream/,,,New,"""Application=Take needed amount and apply all over skin before laying in the sun. Recommended for neck, chest, hands, arms, legs, etc. Adds superb moisture, protects against harmful UV rays, & leaves skin glowing."""
33,P,1036,"Organic Skin Renewal Clay 2oz.","Chatto Skin Care","Helps removes dry rough outer layer of skin to open clogged and congested pores to ensure healthy radiant skin. Formulated with enzymes and plant extracts, this treatment scrub gently exfoliates surface cell build-up and penetrates to treat the epidermal layer of the skin. It also carries away toxins reputed to decrease sebum production. There are no harsh granules to create irritation and serves as a perfect product for sensitive skin. This formulation helps whisk away surface cell build-up for a softer more youthful complexion. Excellent treatment for Eczema, Acne, Pimples, Blemishes, Teenage Acne, Razor Burns, and Dry Flaky Skin. Product is recommended as a pre-treatment prior to the use of any Chatto's Black Liquid Soaps and any of Chatto's Moisturizers.  Nothing comes close to the ancient healing properties of Chatto's unsurpassed products",0.00,0.00,0.00,54.00,0.0000,N,"Water, <a href=""http://www.chatto.com/papaya-oil/"">Papaya Extract</a>, <a href=""http://www.chatto.com/avocado-extract/"">Avocado Extract</a>, <a href=""http://www.chatto.com/shea-butter/"">Shea Butter</a>, <a href=""http://www.chatto.com/vitamin-a/"">Vitamin A</a>, <a href=""http://www.chatto.com/vitamin-d/"">Vitamin D</a>",2.2000,5.5000,4.0000,5.5000,Y,Y,"Usually Ships in Less Than 24 Hours",N,0,0,06/09/2011,31/01/2017,"Category Name: Chatto Skin Care, Category Path: Chatto Skin Care|Category Name: Scrubs | Exfoliates, Category Path: Scrubs | Exfoliates|Category Name: Skin Treatment, Category Path: Skin Treatment|Category Name: Men, Category Path: Men|Category Name: Oily, Category Path: Oily|Category Name: Sensitive, Category Path: Sensitive|Category Name: Acne-Prone, Category Path: Acne-Prone|Category Name: Acne | Pimples, Category Path: Acne | Pimples|Category Name: Blemishes, Category Path: Blemishes|Category Name: Dark Spots, Category Path: Dark Spots|Category Name: Blackheads | Enlarged Pores, Category Path: Blackheads | Enlarged Pores|Category Name: Eczema, Category Path: Eczema|Category Name: Wrinkles | Fine Lines, Category Path: Wrinkles | Fine Lines|Category Name: Razor Bumps, Category Path: Razor Bumps|Category Name: Skin Disorders, Category Path: Skin Disorders|Category Name: Men's Skin Care, Category Path: Men's Skin Care|Category Name: Scrubs, Category Path: Scrubs|Category Name: Skin Care, Category Path: Skin Care","Product Image File: Enzyme_Exfoliation_Treatment_Scrub_2oz__06009.jpg, Product Image URL: http://www.chatto.com/product_images/w/198/Enzyme_Exfoliation_Treatment_Scrub_2oz__06009.jpg",,,,/organic-skin-renewal-clay-2oz/,,,New,"""Application=Apply Enzyme Exfoliation Scrub all over face, neck, or any other rough areas of the skin to be treated. Wait for 2 minutes. Proceed to gently rub creme back and forth with finger tips. "";""Recommended Use=Once or Twice a Week, Exfoliation helps to draw out skin impurities and leaves skin smoother and healthier      "";"":=Chatto Enzyme Exfoliation Scrub can be left on pimples, acne, or razor bumps overnight to bring any impurities out of the skin and dry up the pimple or bumps."";"":=Can also be used as a tightening masque. Simply leave on for 30-35 minutes and then wash off (Do Not Rub) with any Chatto Shea Butter Black Liquid Soap"""
34,P,1035,"Organic Skin Renewal Clay","Chatto Skin Care","Helps removes dry rough outer layer of skin to open clogged and congested pores to ensure healthy radiant skin. It also carries away toxins reputed to decrease sebum production. There are no harsh granules to create irritation and serves as a perfect product for sensitive skin. Formulated with enzymes and plant extracts, this treatment crème gently exfoliates surface cell build-up and penetrates to treat the epidermal layer of the skin. This formulation helps whisk away surface cell build-up for a softer more youthful complexion. Excellent treatment for Eczema, Acne, Pimples, Blemishes, Teenage Acne, Razor Burns, and Dry Flaky Skin. Product is recommended as a pre-treatment prior to the use of any Chatto's Black Liquid Soaps and any of Chatto's Moisturizers.Nothing comes close to the ancient healing properties of Chatto's unsurpassed products",0.00,0.00,0.00,22.50,0.0000,N,"Water, <a href=""http://www.chatto.com/papaya-oil/"">Papaya Extract</a>, <a href=""http://www.chatto.com/avocado-extract/"">Avocado Extract</a>, Cucumber Extract, <a href=""http://www.chatto.com/shea-butter/"">Shea Butter</a>, <a href=""http://www.chatto.com/vitamin-a/"">Vitamin A</a>, <a href=""http://www.chatto.com/vitamin-d/"">Vitamin D</a>",0.5000,5.0000,4.0000,5.0000,Y,Y,"Usually Ships in Less Than 24 Hours",N,0,0,06/09/2011,15/05/2017,"Category Name: Chatto Skin Care, Category Path: Chatto Skin Care|Category Name: Scrubs | Exfoliates, Category Path: Scrubs | Exfoliates|Category Name: Skin Treatment, Category Path: Skin Treatment|Category Name: Men, Category Path: Men|Category Name: Oily, Category Path: Oily|Category Name: Sensitive, Category Path: Sensitive|Category Name: Acne-Prone, Category Path: Acne-Prone|Category Name: Acne | Pimples, Category Path: Acne | Pimples|Category Name: Blemishes, Category Path: Blemishes|Category Name: Dark Spots, Category Path: Dark Spots|Category Name: Blackheads | Enlarged Pores, Category Path: Blackheads | Enlarged Pores|Category Name: Eczema, Category Path: Eczema|Category Name: Wrinkles | Fine Lines, Category Path: Wrinkles | Fine Lines|Category Name: Razor Bumps, Category Path: Razor Bumps|Category Name: Skin Disorders, Category Path: Skin Disorders|Category Name: Men's Skin Care, Category Path: Men's Skin Care|Category Name: Scrubs, Category Path: Scrubs|Category Name: Skin Care, Category Path: Skin Care","Product Image File: Enzyme_Treatment_Creme__85966.jpg, Product Image URL: http://www.chatto.com/product_images/i/351/Enzyme_Treatment_Creme__85966.jpg",,,,/organic-skin-renewal-clay/,,,New,"""Application=Apply Enzyme Exfoliation Scrub all over face, neck, or any other rough areas of the skin to be treated. Wait for 2 minutes. Proceed to gently rub creme back and forth with finger tips. "";""Recommended Use=Once or Twice a Week, Exfoliation helps to draw out skin impurities and leaves skin smoother and healthier      "";"":=Chatto Enzyme Exfoliation Scrub can be left on pimples, acne, or razor bumps overnight to bring any impurities out of the skin and dry up the pimple or bumps."";"":=Can also be used as a tightening masque. Simply leave on for 30-35 minutes and then wash off (Do Not Rub) with any Chatto Shea Butter Black Liquid Soap"""
35,P,1009,"Skin Renewal Facial Moisturizer [MILD] 1oz.","Chatto Skin Care","State of the art crème that smoothes imperfections of the skin. This formulation is made from the finest ingredients including Shea Butter and Cocoa Butter for the treatment of fine lines, wrinkles, teen acne, pimples, pustules, blackheads, blemishes, as well as dark underlines.  The active ingredients work continuously and slowly begin to smooth out and treat any skin problems. An excellent moisturizer for all ages and all skin types.[HIGHLY RECOMMENDED] Nothing comes close to the ancient healing properties of Chatto's unsurpassed skincare products",0.00,0.00,0.00,35.00,0.0000,N,"Water, <a href=""http://www.chatto.com/apricot-oil/"">Apricot Oil</a>, <a href=""http://www.chatto.com/ginseng/"">Ginseng</a>, <a href=""http://www.chatto.com/shea-butter/"">Shea Butter</a>, Lemon Extract, <a href=""http://www.chatto.com/cucumber-extract/"">Cucumber Extract</a>, <a href=""http://www.chatto.com/vitamin-e/"">Tocopherol (Vitamin E)</a>, <a href=""http://www.chatto.com/vitamin-c/"">Vitamin C</a>, <a href=""http://www.chatto.com/licorice-extract/"">Licorice Extract</a>, Glycerol Stearate, Squalene, Abscorbic Acid, Citric Acid, Potassium Sorbate, Sodium Citrate, Magnesium Abscorbyl Phosphate, <a href=""http://www.chatto.com/vitamin-a/"">Vitamin A</a>, <a href=""http://www.chatto.com/vitamin-d/"">Vitamin D</a>",1.0000,3.5000,4.0000,3.5000,Y,Y,"Usually Ships in Less Than 24 Hours",N,0,0,07/09/2011,21/03/2016,"Category Name: Chatto Skin Care, Category Path: Chatto Skin Care|Category Name: Moisturizers, Category Path: Moisturizers|Category Name: Facial Creams, Category Path: Facial Creams|Category Name: Skin Treatment, Category Path: Skin Treatment|Category Name: Men, Category Path: Men|Category Name: Dry-Skin, Category Path: Dry-Skin|Category Name: Oily, Category Path: Oily|Category Name: Aging, Category Path: Aging|Category Name: Sensitive, Category Path: Sensitive|Category Name: Acne-Prone, Category Path: Acne-Prone|Category Name: Acne | Pimples, Category Path: Acne | Pimples|Category Name: Blemishes, Category Path: Blemishes|Category Name: Blackheads | Enlarged Pores, Category Path: Blackheads | Enlarged Pores|Category Name: Wrinkles | Fine Lines, Category Path: Wrinkles | Fine Lines|Category Name: Discoloration, Category Path: Discoloration|Category Name: Razor Bumps, Category Path: Razor Bumps|Category Name: Men's Skin Care, Category Path: Men's Skin Care|Category Name: Skin Care, Category Path: Skin Care","Product Image File: Advanced_Facial_Creme_1oz._Final__15165.JPG, Product Image URL: http://www.chatto.com/product_images/l/209/Advanced_Facial_Creme_1oz._Final__15165.JPG",,,,/skin-renewal-facial-moisturizer-mild-1oz/,,,New,"""Application=Take needed amount and apply after cleansing the skin. A third application of the cream is recommended on very dark spots. Recommended for face, neck, chests, hands, arms, legs, or areas of skin with dark spots, blemishes, fine lines"";""Recommended Use=Apply Twice Daily (AM & PM) after cleansing the face or skin"""
36,P,1207,"Advanced Skin Treatment Cream [MILD]","Chatto Skin Care","State of the art crème that smoothes imperfections of the skin. This formulation is made from the finest ingredients including Shea Butter and Cocoa Butter for the treatment of fine lines, wrinkles, teen acne, pimples, pustules, blackheads, blemishes, as well as dark underlines.  The active ingredients work continuously and slowly begin to smooth out and treat any skin problems. An excellent moisturizer for all ages and all skin types.[HIGHLY RECOMMENDED] Nothing comes close to the ancient healing properties of Chatto's unsurpassed skincare products",0.00,0.00,0.00,22.00,0.0000,N," Water, <a href=""http://www.chatto.com/apricot-oil/"">Apricot Oil</a>, <a href=""http://www.chatto.com/ginseng/"">Ginseng</a>, <a href=""http://www.chatto.com/shea-butter/"">Shea Butter</a>, Lemon Extract, <a href=""http://www.chatto.com/cucumber-extract/"">Cucumber Extract</a>, <a href=""http://www.chatto.com/vitamin-e/"">Tocopherol (Vitamin E)</a>, <a href=""http://www.chatto.com/vitamin-c/"">Vitamin C</a>, <a href=""http://www.chatto.com/licorice-extract/"">Licorice Extract</a>, Glycerol Stearate, Squalene, Abscorbic Acid, Citric Acid, Potassium Sorbate, Sodium Citrate, Magnesium Abscorbyl Phosphate, <a href=""http://www.chatto.com/vitamin-a/"">Vitamin A</a>, <a href=""http://www.chatto.com/vitamin-d/"">Vitamin D</a>",0.5000,5.0000,3.5000,5.0000,Y,Y,"Usually Ships in Less Than 24 Hours",N,0,0,07/09/2011,17/05/2017,"Category Name: Chatto Skin Care, Category Path: Chatto Skin Care|Category Name: Moisturizers, Category Path: Moisturizers|Category Name: Facial Creams, Category Path: Facial Creams|Category Name: Skin Treatment, Category Path: Skin Treatment|Category Name: Men, Category Path: Men|Category Name: Dry-Skin, Category Path: Dry-Skin|Category Name: Oily, Category Path: Oily|Category Name: Sensitive, Category Path: Sensitive|Category Name: Acne-Prone, Category Path: Acne-Prone|Category Name: Acne | Pimples, Category Path: Acne | Pimples|Category Name: Blemishes, Category Path: Blemishes|Category Name: Blackheads | Enlarged Pores, Category Path: Blackheads | Enlarged Pores|Category Name: Discoloration, Category Path: Discoloration|Category Name: Razor Bumps, Category Path: Razor Bumps|Category Name: Men's Skin Care, Category Path: Men's Skin Care|Category Name: Skin Care, Category Path: Skin Care","Product Image File: Advanced_Facial_Treatment_Creme_0.5oz._(Final)__36677.jpg, Product Image URL: http://www.chatto.com/product_images/t/615/Advanced_Facial_Treatment_Creme_0.5oz._(Final)__36677.jpg",,,,/advanced-skin-treatment-cream-mild/,,,New,"""Application=Take needed amount and apply after cleansing the skin. A third application of the cream is recommended on very dark spots. Recommended for face, neck, chests, hands, arms, legs, or areas of skin with dark spots, blemishes, fine lines"";""Recommended Use=Apply Twice Daily (AM & PM) after cleansing the face or skin"""
37,P,1006,"Advanced Skin Treatment Cream [REGULAR] 4oz.","Chatto Skin Care","State of the art crème that smoothes imperfections of the skin. This formulation is made from the finest ingredients including Shea Butter and Cocoa Butter for the treatment of fine lines, blemishes, dark underlines, severe dark spots, and evens out discoloration.  The active ingredients work continuously and slowly begin to smooth out and treat any skin problems. An excellent moisturizer for all ages and all skin types. [HIGHLY RECOMMENDED]Nothing comes close to the ancient healing properties of Chatto's unsurpassed skincare products",0.00,0.00,0.00,89.99,0.0000,N,"Water, <a href=""http://www.chatto.com/apricot-oil/"">Apricot Oil</a>, <a href=""http://www.chatto.com/vitamin-c/"">Vitamin C</a>, <a href=""http://www.chatto.com/ginseng/"">Ginseng</a>, Sugar Cane Extract, <a href=""http://www.chatto.com/shea-butter/"">Shea Butter</a>, Lemon Extract, Alpha Hydroxy Acid, Kojic, <a href=""http://www.chatto.com/licorice-extract/"">Licorice Extract</a>, <a href=""http://www.chatto.com/cucumber-extract/"">Cucumber Extract</a>, <a href=""http://www.chatto.com/vitamin-e/"">Tocopherol (Vitamin E)</a>, Glycerol Stearate, Squalene, <a href=""http://www.chatto.com/vitamin-c/"">Vitamin C (Ascorbic Acid)</a>, Citric Acid, Potassium Sorbate, Sodium Citrate, Magnesium Abscorbyl Phosphate, <a href=""http://www.chatto.com/vitamin-a/"">Vitamin A</a>, <a href=""http://www.chatto.com/vitamin-d/"">Vitamin D</a>",4.0000,6.5000,5.5000,6.5000,Y,Y,"Usually Ships in Less Than 24 Hours",N,0,0,07/09/2011,06/12/2016,"Category Name: Chatto Skin Care, Category Path: Chatto Skin Care|Category Name: Moisturizers, Category Path: Moisturizers|Category Name: Facial Creams, Category Path: Facial Creams|Category Name: Skin Treatment, Category Path: Skin Treatment|Category Name: Men, Category Path: Men|Category Name: Dry-Skin, Category Path: Dry-Skin|Category Name: Oily, Category Path: Oily|Category Name: Acne-Prone, Category Path: Acne-Prone|Category Name: Combination-Normal, Category Path: Combination-Normal|Category Name: Acne | Pimples, Category Path: Acne | Pimples|Category Name: Blemishes, Category Path: Blemishes|Category Name: Dark Spots, Category Path: Dark Spots|Category Name: Blackheads | Enlarged Pores, Category Path: Blackheads | Enlarged Pores|Category Name: Discoloration, Category Path: Discoloration|Category Name: Razor Bumps, Category Path: Razor Bumps|Category Name: Men's Skin Care, Category Path: Men's Skin Care|Category Name: Skin Care, Category Path: Skin Care","Product Image File: Advanced_Facial_Creme_4oz._(Final)__22192.JPG, Product Image URL: http://www.chatto.com/product_images/b/168/Advanced_Facial_Creme_4oz._(Final)__22192.JPG|Product Image File: Mild_Skin_Treatment_4oz.__Large_Photo___39264.JPG, Product Image URL: http://www.chatto.com/product_images/d/451/Mild_Skin_Treatment_4oz.__Large_Photo___39264.JPG",,,,/advanced-skin-treatment-cream-regular-4oz/,,,New,"""Application=Take needed amount and apply after cleansing the skin. A third application of the cream is recommended on very severe dark spots, blemishes, or scars. Recommended for face, neck, chests, hands, arms, legs, or areas of skin with dark spots and blemish"";""Recommended Use=Apply Twice Daily (AM & PM) after cleansing the face or skin"""
38,P,1114,"Advanced Facial Moisturizer","Chatto Skin Care","The exquisite formulation of ingredients blend with cocoa butter and shea butter with the combination of vitamins makes this cream a perfect moisturizer for both men and women.The pure aloe vera aids in healing skin irritation such as razor burns, razor bumps, acne, pimples, dry flaky skin, and uneven pigmentation, this perfect crème that nourishes and protects all skin types. Use moisturizer morning and night for a clearer even tone. Nothing comes close to the ancient healing properties of Chatto's unsurpassed products",0.00,0.00,0.00,70.99,0.0000,N,"Ionized Water, <a href=""http://www.chatto.com/aloe-vera/"">Aloe Vera</a>, <a href=""http://www.chatto.com/shea-butter/"">Pure Shea Butter</a> <a href=""http://www.chatto.com/vitamin-a/"">Vitamin A</a>, <a href=""http://www.chatto.com/vitamin-c/"">Vitamin C</a>, Safflower Oil, <a href=""http://www.chatto.com/olive-oil/"">Olive Oil</a>, <a href=""http://www.chatto.com/vitamin-e/"">Vitamin E</a>, <a href=""http://www.chatto.com/sunflower-oil/"">Sunflower Oil</a>, <a href=""http://www.chatto.com/avocado-extract/"">Avocado Oil</a>",2.0000,6.5000,5.0000,6.5000,Y,Y,"Usually Ships in Less Than 24 Hours",N,0,0,07/09/2011,11/07/2016,"Category Name: Chatto Skin Care, Category Path: Chatto Skin Care|Category Name: Moisturizers, Category Path: Moisturizers|Category Name: Facial Creams, Category Path: Facial Creams|Category Name: Skin Treatment, Category Path: Skin Treatment|Category Name: Oily, Category Path: Oily|Category Name: Aging, Category Path: Aging|Category Name: Sensitive, Category Path: Sensitive|Category Name: Combination-Normal, Category Path: Combination-Normal|Category Name: Blemishes, Category Path: Blemishes|Category Name: Wrinkles | Fine Lines, Category Path: Wrinkles | Fine Lines|Category Name: Discoloration, Category Path: Discoloration|Category Name: Sun Protection, Category Path: Sun Protection|Category Name: Skin Care, Category Path: Skin Care|Category Name: Stretch Marks, Category Path: Stretch Marks","Product Image File: Advanced_Facial_Moisturizer_(Final)__44279.jpg, Product Image URL: http://www.chatto.com/product_images/u/495/Advanced_Facial_Moisturizer_(Final)__44279.jpg",,,,/advanced-facial-moisturizer/,,,New,"""Application=Apply small amount to entire face so the natural oils and herbs can improve the skin condition"";""Recommended Use=Apply Twice Daily (AM & PM) after cleansing the face or skin"""
